test_set,train_size,train_set,config,lr,epochs,rank,alpha,layer_scope,train_loss,n,acc,f1,precision,recall,pred_pos_rate,tp,fp,fn,tn,train_root,pred_path
balanced_seed1,500,basepred_label_quad_balanced_500_seed1,lr5e-6_halfepoch_r1_a8_all_quad500,5e-06,0.5,1,8,all,20.970507629394533,10000,0.4942,0.6556841388699797,0.4970072239422085,0.9632,0.969,4816,4874,184,126,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500/basepred_label_quad_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500_eval/balanced_seed1/basepred_label_quad_balanced_500_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,0.3079472438842058,10000,0.4926,0.6573473797947056,0.49622756933115825,0.9734,0.9808,4867,4941,133,59,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha16/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r1_alpha16/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,0.25216698257625103,10000,0.4908,0.6552937990793393,0.49529267294310275,0.968,0.9772,4840,4932,160,68,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha16/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r1_alpha16/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,0.572995492875576,10000,0.4858,0.6485304169514695,0.4926272066458982,0.9488,0.963,4744,4886,256,114,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha8/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r1_alpha8/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,0.5237019398808479,10000,0.4896,0.6537783204449872,0.4946622870047218,0.9638,0.9742,4819,4923,181,77,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha8/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r1_alpha8/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r2_a16_all,1e-05,2,2,16,all,0.30480129827558994,10000,0.4905,0.6554405897071752,0.49514662307142127,0.9692,0.9787,4846,4941,154,59,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha16/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r2_alpha16/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r2_a16_all,1e-05,2,2,16,all,0.26054479609429837,10000,0.4919,0.6566659909453341,0.4958669251964486,0.9718,0.9799,4859,4940,141,60,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha16/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r2_alpha16/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r2_a8_all,1e-05,2,2,8,all,0.9566324966549873,10000,0.4867,0.6500783966187197,0.49312234977763986,0.9536,0.9669,4768,4901,232,99,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha8/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r2_alpha8/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r2_a8_all,1e-05,2,2,8,all,0.9319367293417454,10000,0.4889,0.6521472810181719,0.4942742185082018,0.9582,0.9693,4791,4902,209,98,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha8/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/balanced_seed1/r2_alpha8/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,accept15_defer85_random_balanced_1000_seed1,lr5e-6_e1_r1_a8_all,5e-06,1,1,8,all,18.854133790969847,10000,0.4923,0.6535653360627771,0.4960124287933713,0.9578,0.9655,4789,4866,211,134,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000_eval/balanced_seed1/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
balanced_seed1,1000,basepred_label_quad_balanced_1000_seed1,lr5e-6_e1_r1_a8_all,5e-06,1,1,8,all,18.994108276367186,10000,0.4869,0.6464061746261457,0.4931132373041741,0.938,0.9511,4690,4821,310,179,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000/basepred_label_quad_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000_eval/balanced_seed1/basepred_label_quad_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,0,base,base qwen3-0.6b,,0,0,0,none,,10000,0.6,0.5,0.6666666666666666,0.4,0.3,2000,1000,3000,4000,,experiments/inputs/fever/round_0/all_student_predictions.jsonl
basef1_050,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,2.1847450774908066,10000,0.4927,0.6556709427815108,0.4962498715709442,0.966,0.9733,4830,4903,170,97,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha16_all/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,2.134501279115677,10000,0.4934,0.6571003113577907,0.49662369551872315,0.9708,0.9774,4854,4920,146,80,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha16_all/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a16_last1,1e-05,2,1,16,last1,20.428758895874022,10000,0.4971,0.6618705035971223,0.4985313481211385,0.9844,0.9873,4922,4951,78,49,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha16_last1/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a16_last1,1e-05,2,1,16,last1,20.41435669708252,10000,0.4972,0.6605913325232888,0.4985734664764622,0.9786,0.9814,4893,4921,107,79,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha16_last1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha16_last1/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,11.049698295593261,10000,0.4913,0.6514082094154732,0.4954654435525904,0.9506,0.9593,4753,4840,247,160,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha8_all/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,10.950857326507569,10000,0.4942,0.6577807848443843,0.49703476482617587,0.9722,0.978,4861,4919,139,81,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_r1_alpha8_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e2_alpha8_all/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,accept15_defer85_random_balanced_500_seed1,lr1e-5_e3_r1_a16_all,1e-05,3,1,16,all,0.3282872489094734,10000,0.4865,0.6465202725958561,0.4929148735173717,0.9392,0.9527,4696,4831,304,169,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/accept15_defer85_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e3_alpha16_all/accept15_defer85_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr1e-5_e3_r1_a16_all,1e-05,3,1,16,all,0.2879992907196283,10000,0.4909,0.6524677452385828,0.4952844854389056,0.9558,0.9649,4779,4870,221,130,experiments/runs/fever_balanced_lora_06b_lr1e5_r1_sweep500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_basef1_050_eval/lr1e5_e3_alpha16_all/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr1e-8_e1_r1_a4_all_fullrandom500,1e-08,1,1,4,all,20.97003377532959,10000,0.4976,0.6625016794303372,0.49878616224964595,0.9862,0.9886,4931,4955,69,45,experiments/runs/fever_balanced_lora_06b_lr1e8_e1_r1_alpha4_fullrandom500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr1e8_e1_r1_alpha4_fullrandom500_eval/basef1_050/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,full_random_balanced_500_seed1,lr3e-7_e1_r1_a4_all_fullrandom500,3e-07,1,1,4,all,20.957480361938476,10000,0.4976,0.662547017732402,0.4987864077669903,0.9864,0.9888,4932,4956,68,44,experiments/runs/fever_balanced_lora_06b_lr3e7_e1_r1_alpha4_fullrandom500/full_random_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr3e7_e1_r1_alpha4_fullrandom500_eval/basef1_050/full_random_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,accept15_defer85_basepred_label_quad_balanced_500_seed1,lr5e-6_halfepoch_r1_a8_all_quad500,5e-06,0.5,1,8,all,21.144294815063475,10000,0.4971,0.6603174603174603,0.49852116267210606,0.9776,0.9805,4888,4917,112,83,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500/accept15_defer85_basepred_label_quad_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500_eval/basef1_050/accept15_defer85_basepred_label_quad_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,500,basepred_label_quad_balanced_500_seed1,lr5e-6_halfepoch_r1_a8_all_quad500,5e-06,0.5,1,8,all,20.970507629394533,10000,0.4982,0.6584070796460176,0.49907120743034056,0.9672,0.969,4836,4854,164,146,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500/basepred_label_quad_balanced_500_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_halfepoch_r1_alpha8_quad500_eval/basef1_050/basepred_label_quad_balanced_500_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,0.3079472438842058,10000,0.4949,0.6583699695637469,0.4973939703628002,0.9734,0.9785,4867,4918,133,82,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha16/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r1_alpha16/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r1_a16_all,1e-05,2,1,16,all,0.25216698257625103,10000,0.4948,0.6576771920314405,0.4973355195736831,0.9706,0.9758,4853,4905,147,95,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha16/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r1_alpha16/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,0.572995492875576,10000,0.4914,0.6524531911985787,0.49553664106290224,0.9548,0.9634,4774,4860,226,140,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha8/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r1_alpha8/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r1_a8_all,1e-05,2,1,8,all,0.5237019398808479,10000,0.4944,0.6574525745257452,0.4971311475409836,0.9704,0.976,4852,4908,148,92,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r1_alpha8/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r1_alpha8/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r2_a16_all,1e-05,2,2,16,all,0.30480129827558994,10000,0.4964,0.660921088068947,0.4981729598051157,0.9816,0.9852,4908,4944,92,56,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha16/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r2_alpha16/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r2_a16_all,1e-05,2,2,16,all,0.26054479609429837,10000,0.4952,0.6588267099216004,0.49755002041649654,0.9748,0.9796,4874,4922,126,78,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha16/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r2_alpha16/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,accept15_defer85_random_balanced_1000_seed1,lr1e-5_e2_r2_a8_all,1e-05,2,2,8,all,0.9566324966549873,10000,0.487,0.6464994487320838,0.49316652649285114,0.9382,0.9512,4691,4821,309,179,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha8/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r2_alpha8/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,full_random_balanced_1000_seed1,lr1e-5_e2_r2_a8_all,1e-05,2,2,8,all,0.9319367293417454,10000,0.4928,0.6548720740337507,0.4962871287128713,0.9624,0.9696,4812,4884,188,116,experiments/runs/fever_balanced_lora_06b_lr1e5_e2_all_sweep1000_r2_alpha8/full_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_sweep1000_eval/basef1_050/r2_alpha8/full_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,accept15_defer85_random_balanced_1000_seed1,lr5e-6_e1_r1_a8_all,5e-06,1,1,8,all,18.854133790969847,10000,0.4938,0.6510409485730043,0.4967389017462655,0.9444,0.9506,4722,4784,278,216,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000/accept15_defer85_random_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000_eval/basef1_050/accept15_defer85_random_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
basef1_050,1000,basepred_label_quad_balanced_1000_seed1,lr5e-6_e1_r1_a8_all,5e-06,1,1,8,all,18.994108276367186,10000,0.491,0.6499793701003989,0.49528400754558793,0.9452,0.9542,4726,4816,274,184,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000/basepred_label_quad_balanced_1000_seed1,experiments/runs/fever_balanced_lora_06b_lr5e6_e1_r1_alpha8_quad_vs_accept1000_eval/basef1_050/basepred_label_quad_balanced_1000_seed1/round_1/pool_student_predictions.jsonl
